Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
acrobat		All	Yes	Block	No	%ProgramFiles% (x86)\Adobe\Acrobat 11.0\Acrobat\Acrobat.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
adobe dc		All	Yes	Block	No	%ProgramFiles%\Adobe\Acrobat DC\Acrobat\Acrobat.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
distiller		All	Yes	Block	No	%ProgramFiles% (x86)\Adobe\Acrobat 11.0\Acrobat\acrodist.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
@FirewallAPI.dll,-80204	@FirewallAPI.dll,-80200	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	Any	554, 8554-8558	Any	Any	Any	None	Any	
AllJoyn Router (TCP-Out)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	None	Any	
AllJoyn Router (UDP-Out)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	None	Any	
App Installer	App Installer	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	SHARANYA-PC\Sharanya Dasgupta	None	Microsoft.DesktopAppInstaller_8wekyb3d8bbwe	
BranchCache Content Retrieval (HTTP-Out)	BranchCache - Content Retrieval (Uses HTTP)	All	No	Allow	No	SYSTEM	Any	Any	TCP	Any	80	Any	Any	Any	None	Any	
BranchCache Hosted Cache Client (HTTP-Out)	BranchCache - Hosted Cache Client (Uses HTTPS)	All	No	Allow	No	SYSTEM	Any	Any	TCP	Any	443	Any	Any	Any	None	Any	
BranchCache Hosted Cache Server(HTTP-Out)	BranchCache - Hosted Cache Server (Uses HTTPS)	All	No	Allow	No	SYSTEM	Any	Any	TCP	443	Any	Any	Any	Any	None	Any	
BranchCache Peer Discovery (WSD-Out)	BranchCache - Peer Discovery (Uses WSD)	All	No	Allow	No	%systemroot%\system32\svchost.exe	Any	Local subnet	UDP	Any	3702	Any	Any	Any	None	Any	
